drugbank_id,gene_symbol
DB00126,PAM
DB00126,P4HA1
DB00126,LEPRE1
DB00126,OGFOD2
DB00126,ALKBH2
DB00126,LEPREL1
DB00126,LEPREL2
DB00126,OGFOD1
DB00126,EGLN2
DB00126,ALKBH3
DB00126,JARID1D
DB00126,EGLN1
DB00126,SLC23A1
DB00126,PLOD1
DB00126,EGLN3
DB00126,TMLHE
DB00126,SLC23A1
DB00127,SMS
DB00127,SMOX
DB00127,ODC1
DB00127,CASR
DB00127,ADRB1
DB00127,ADRB2
DB00127,XDH
DB00127,SAT1
DB00127,SAT2
DB00127,SLC22A4
DB00128,RNASE1
DB00128,SLC25A13
DB00128,GOT1
DB00128,ASPA
DB00128,ASNS
DB00128,ASS1
DB00128,ACY1
DB00128,GOT2
DB00128,DARS
DB00128,SLC25A12
DB00128,ASPH
DB00128,PAICS
DB00128,CAD
DB00128,ADSS
DB00128,SLC1A1
DB00128,GIG18
DB00128,ASS1
DB00128,DARS2
DB00128,ASRGL1
DB00128,ADSSL1
DB00128,ACY3
DB00129,OAT
DB00129,OTC
DB00129,ARG1
DB00129,OAZ1
DB00129,SLC7A2
DB00129,SLC25A2
DB00129,SLC7A4
DB00129,SLC7A1
DB00129,ARG2
DB00129,SLC25A15
DB00129,SLC7A3
DB00129,OAZ2
DB00129,GATM
DB00129,OAZ3
DB00130,CTPS
DB00130,PPAT
DB00130,GLUL
DB00130,F13A1
DB00130,GLS
DB00130,GLS2
DB00130,TGM2
DB00130,TGM5
DB00130,TGM6
DB00130,TGM1
DB00130,TGM4
DB00130,TGM3
DB00130,TGM7
DB00130,GMPS
DB00130,ASNS
DB00130,CCBL1
DB00130,PFAS
DB00130,PET112L
DB00130,GFPT2
DB00130,CAD
DB00130,QARS
DB00130,NADSYN1
DB00130,SLC38A3
DB00130,SLC1A5
DB00130,SLC7A8
DB00131,CREB1
DB00131,PIM1
DB00131,PDE4B
DB00131,PYGL
DB00131,PRKAB1
DB00131,HINT1
DB00131,PDE4D
DB00131,ACSS1
DB00131,ACSS2
DB00131,PRKAA1
DB00131,PRKAB2
DB00131,ADCY1
DB00131,ACSL1
DB00131,FBP1
DB00131,AMPD1
DB00131,APRT
DB00132,DKFZp762M2311
DB00132,FADS2
DB00132,SLC8A1
DB00132,TRPV1
DB00132,ELOVL4
DB00132,PPARA
DB00132,NR1H4
DB00132,PPARD
DB00132,PPARG
DB00132,RXRA
DB00132,FABP7
DB00133,CBS
